シリアルナンバー,座標（x）,座標（y）
MAC-2-1-2a A,272,263
MAC-2-1-2a B,75,264
MAC-2-1-2a C,272,165
MAC-2-1-2a D,551,165
MAC-2-1-2a E,415,165
MAC-2-1-2a F,272,440
MAC-2-1-2a G,272,617
MAC-2-1-2a H,75,441
