serial,x,y
52C4162B,579,157
52C415C7,491,158
52C41630,406,156
52C4162C,583,43
52C4162D,415,43
52C4161A,280,43
52C4162F,308,115
52C41606,184,113
52C41605,305,217
52C41604,187,214
52C41608,305,316
52C41607,187,316
52C41601,74,280
52C41600,303,415
52C415FF,186,416
52C41603,305,517
52C415F5,183,515
52C415F7,73,496
52C415FC,303,619
52C415FB,186,618
52C415F6,270,745
52C41602,175,745
